Unit,Quarter,Month,Quantity,Year,Booking_Month,Booking_Year
CSWBU,Q4,JUN,2467,2002,1,2017
CSWBU,Q4,MAY,845,2002,1,2017
CSWBU,Q4,JUL,29,2008,1,2018
CSWBU,Q4,JUN,783,2008,1,2018
CSWBU,Q4,MAY,2014,2008,1,2018
CSWBU,Q4,JUL,983,2007,1,2019
CSWBU,Q4,JUN,453,2007,1,2019
CSWBU,Q4,MAY,158,2007,1,2019
CSWBU,Q4,JUL,912,2011,1,2020
CSWBU,Q4,JUN,366,2011,1,2020
CSWBU,Q4,MAY,228,2011,1,2020
CSWBU,Q4,JUL,220,2012,1,2021
CSWBU,Q4,JUN,242,2012,1,2021
CSWBU,Q4,MAY,294,2012,1,2021
CSWBU,Q1,AUG,239,2002,1,2017
CSWBU,Q1,OCT,2951,2002,1,2017
CSWBU,Q1,SEP,263,2002,1,2017
CSWBU,Q1,AUG,453,2008,1,2018
CSWBU,Q1,OCT,380,2008,1,2018
CSWBU,Q1,SEP,1071,2008,1,2018
CSWBU,Q1,AUG,301,2007,1,2019
CSWBU,Q1,OCT,512,2007,1,2019
CSWBU,Q1,SEP,341,2007,1,2019
CSWBU,Q1,AUG,144,2011,1,2020
CSWBU,Q1,OCT,296,2011,1,2020
CSWBU,Q1,SEP,110,2011,1,2020
CSWBU,Q1,AUG,32,2012,1,2021
CSWBU,Q1,OCT,186,2012,1,2021
CSWBU,Q1,SEP,370,2012,1,2021
CSWBU,Q1,AUG,316,2022,1,2022
CSWBU,Q1,OCT,265,2022,1,2022
CSWBU,Q1,SEP,105,2022,1,2022
CSWBU,Q2,DEC,920,2002,1,2017
CSWBU,Q2,JAN,2804,2002,1,2017
CSWBU,Q2,NOV,159,2002,1,2017
CSWBU,Q2,DEC,181,2008,1,2018
CSWBU,Q2,JAN,367,2008,1,2018
CSWBU,Q2,NOV,821,2008,1,2018
CSWBU,Q2,DEC,826,2007,1,2019
CSWBU,Q2,JAN,962,2007,1,2019
CSWBU,Q2,NOV,26,2007,1,2019
CSWBU,Q2,DEC,102,2011,1,2020
CSWBU,Q2,JAN,316,2011,1,2020
CSWBU,Q2,NOV,172,2011,1,2020
CSWBU,Q2,DEC,224,2012,1,2021
CSWBU,Q2,JAN,37,2012,1,2021
CSWBU,Q2,NOV,315,2012,1,2021
CSWBU,Q2,DEC,129,2022,1,2022
CSWBU,Q2,JAN,70,2022,1,2022
CSWBU,Q2,NOV,87,2022,1,2022
CSWBU,Q3,APR,2026,2022,1,2016
CSWBU,Q3,FEB,473,2022,1,2016
CSWBU,Q3,MAR,181,2022,1,2016
CSWBU,Q3,APR,2089,2002,1,2017
CSWBU,Q3,FEB,241,2002,1,2017
CSWBU,Q3,MAR,854,2002,1,2017
CSWBU,Q3,APR,1960,2008,1,2018
CSWBU,Q3,FEB,994,2008,1,2018
CSWBU,Q3,MAR,1053,2008,1,2018
CSWBU,Q3,APR,489,2007,1,2019
CSWBU,Q3,FEB,392,2007,1,2019
CSWBU,Q3,MAR,263,2007,1,2019
CSWBU,Q3,APR,468,2011,1,2020
CSWBU,Q3,FEB,50,2011,1,2020
CSWBU,Q3,MAR,74,2011,1,2020
CSWBU,Q3,APR,224,2012,1,2021
CSWBU,Q3,FEB,55,2012,1,2021
CSWBU,Q3,MAR,461,2012,1,2021
CSWBU,Q4,JUL,804,2002,1,2017
CSWBU,Q4,JUN,1263,2002,1,2017
CSWBU,Q4,MAY,419,2002,1,2017
CSWBU,Q4,JUL,45,2008,1,2018
CSWBU,Q4,JUN,401,2008,1,2018
CSWBU,Q4,MAY,976,2008,1,2018
CSWBU,Q4,JUL,497,2007,1,2019
CSWBU,Q4,JUN,230,2007,1,2019
CSWBU,Q4,MAY,79,2007,1,2019
CSWBU,Q4,JUL,459,2011,1,2020
CSWBU,Q4,JUN,188,2011,1,2020
CSWBU,Q4,MAY,114,2011,1,2020
CSWBU,Q4,JUL,143,2012,1,2021
CSWBU,Q4,JUN,129,2012,1,2021
CSWBU,Q4,MAY,147,2012,1,2021
CPBU,Q1,AUG,2,2012,1,2021
CPBU,Q1,OCT,644,2012,1,2021
CPBU,Q1,SEP,258,2012,1,2021
CPBU,Q1,AUG,464,2022,1,2022
CPBU,Q1,OCT,730,2022,1,2022
CPBU,Q1,SEP,430,2022,1,2022
CPBU,Q2,DEC,476,2012,1,2021
CPBU,Q2,JAN,542,2012,1,2021
CPBU,Q2,NOV,448,2012,1,2021
CPBU,Q2,DEC,560,2022,1,2022
CPBU,Q2,JAN,664,2022,1,2022
CPBU,Q2,NOV,518,2022,1,2022
CPBU,Q3,APR,2,2011,1,2020
CPBU,Q3,MAR,2,2011,1,2020
CPBU,Q3,APR,588,2012,1,2021
CPBU,Q3,FEB,370,2012,1,2021
CPBU,Q3,MAR,412,2012,1,2021
CPBU,Q4,JUL,0,2011,1,2020
CPBU,Q4,JUN,0,2011,1,2020
CPBU,Q4,MAY,12,2011,1,2020
CPBU,Q4,JUL,1372,2012,1,2021
CPBU,Q4,JUN,538,2012,1,2021
CPBU,Q4,MAY,442,2012,1,2021
CPBU,Q1,OCT,408,2012,1,2021
CPBU,Q1,SEP,76,2012,1,2021
CPBU,Q1,AUG,140,2022,1,2022
CPBU,Q1,OCT,312,2022,1,2022
CPBU,Q1,SEP,240,2022,1,2022
CPBU,Q2,DEC,152,2012,1,2021
CPBU,Q2,JAN,260,2012,1,2021
CPBU,Q2,NOV,164,2012,1,2021
CPBU,Q2,DEC,300,2022,1,2022
CPBU,Q2,JAN,316,2022,1,2022
CPBU,Q2,NOV,280,2022,1,2022
CPBU,Q3,APR,4,2011,1,2020
CPBU,Q3,MAR,4,2011,1,2020
CPBU,Q3,APR,384,2012,1,2021
CPBU,Q3,FEB,164,2012,1,2021
CPBU,Q3,MAR,152,2012,1,2021
CPBU,Q4,JUL,0,2011,1,2020
CPBU,Q4,JUN,0,2011,1,2020
CPBU,Q4,MAY,12,2011,1,2020
CPBU,Q4,JUL,644,2012,1,2021
CPBU,Q4,JUN,252,2012,1,2021
CPBU,Q4,MAY,296,2012,1,2021
CPBU,Q1,AUG,1504,2012,1,2021
CPBU,Q1,OCT,4760,2012,1,2021
CPBU,Q1,SEP,2296,2012,1,2021
CPBU,Q1,AUG,2920,2022,1,2022
CPBU,Q1,OCT,5160,2022,1,2022
CPBU,Q1,SEP,3008,2022,1,2022
CPBU,Q2,DEC,3192,2012,1,2021
CPBU,Q2,JAN,4080,2012,1,2021
CPBU,Q2,NOV,2872,2012,1,2021
CPBU,Q2,DEC,3976,2022,1,2022
CPBU,Q2,JAN,4888,2022,1,2022
CPBU,Q2,NOV,3808,2022,1,2022
CPBU,Q3,APR,3976,2011,1,2020
CPBU,Q3,FEB,1312,2011,1,2020
CPBU,Q3,MAR,3048,2011,1,2020
CPBU,Q3,APR,4616,2012,1,2021
CPBU,Q3,FEB,2528,2012,1,2021
CPBU,Q3,MAR,2656,2012,1,2021
CPBU,Q4,JUL,6640,2011,1,2020
CPBU,Q4,JUN,2704,2011,1,2020
CPBU,Q4,MAY,1712,2011,1,2020
CPBU,Q4,JUL,10360,2012,1,2021
CPBU,Q4,JUN,3816,2012,1,2021
CPBU,Q4,MAY,3240,2012,1,2021
CRBU,Q1,AUG,45,2022,1,2022
CRBU,Q1,OCT,262,2022,1,2022
CRBU,Q1,SEP,68,2022,1,2022
CRBU,Q2,DEC,161,2022,1,2022
CRBU,Q2,JAN,134,2022,1,2022
CRBU,Q2,NOV,45,2022,1,2022
CRBU,Q3,APR,2,2012,1,2021
CRBU,Q3,MAR,72,2012,1,2021
CRBU,Q4,JUL,2,2012,1,2021
CRBU,Q4,JUN,0,2012,1,2021
CRBU,Q4,MAY,58,2012,1,2021
CRBU,Q1,OCT,63,2012,1,2021
CRBU,Q1,SEP,1,2012,1,2021
CRBU,Q1,AUG,194,2022,1,2022
CRBU,Q1,OCT,348,2022,1,2022
CRBU,Q1,SEP,193,2022,1,2022
CRBU,Q2,DEC,4,2012,1,2021
CRBU,Q2,JAN,19,2012,1,2021
CRBU,Q2,NOV,3,2012,1,2021
CRBU,Q2,DEC,418,2022,1,2022
CRBU,Q2,JAN,505,2022,1,2022
CRBU,Q2,NOV,304,2022,1,2022
CRBU,Q3,APR,25,2012,1,2021
CRBU,Q3,FEB,4,2012,1,2021
CRBU,Q3,MAR,3,2012,1,2021
CRBU,Q4,JUL,146,2012,1,2021
CRBU,Q4,JUN,2,2012,1,2021
CRBU,Q4,MAY,10,2012,1,2021
CRBU,Q1,AUG,9,2012,1,2021
CRBU,Q1,OCT,1,2012,1,2021
CRBU,Q1,SEP,8,2012,1,2021
CRBU,Q1,AUG,122,2022,1,2022
CRBU,Q1,OCT,436,2022,1,2022
CRBU,Q1,SEP,182,2022,1,2022
CRBU,Q2,DEC,52,2012,1,2021
CRBU,Q2,JAN,7,2012,1,2021
CRBU,Q2,NOV,6,2012,1,2021
CRBU,Q2,DEC,7,2022,1,2022
CRBU,Q2,JAN,456,2022,1,2022
CRBU,Q2,NOV,249,2022,1,2022
CRBU,Q3,APR,9,2011,1,2020
CRBU,Q3,FEB,1,2011,1,2020
CRBU,Q3,MAR,1,2011,1,2020
CRBU,Q3,APR,72,2012,1,2021
CRBU,Q3,FEB,24,2012,1,2021
CRBU,Q3,MAR,43,2012,1,2021
CRBU,Q4,JUL,5,2011,1,2020
CRBU,Q4,JUN,0,2011,1,2020
CRBU,Q4,MAY,24,2011,1,2020
CRBU,Q4,JUL,52,2012,1,2021
CRBU,Q4,JUN,4,2012,1,2021
CRBU,Q4,MAY,21,2012,1,2021
CRBU,Q1,AUG,6,2011,1,2020
CRBU,Q1,OCT,4,2011,1,2020
CRBU,Q1,SEP,0,2011,1,2020
CRBU,Q1,AUG,79,2012,1,2021
CRBU,Q1,OCT,604,2012,1,2021
CRBU,Q1,SEP,20,2012,1,2021
CRBU,Q1,AUG,911,2022,1,2022
CRBU,Q1,OCT,1685,2022,1,2022
CRBU,Q1,SEP,79,2022,1,2022
CRBU,Q2,DEC,37,2011,1,2020
CRBU,Q2,NOV,0,2011,1,2020
CRBU,Q2,DEC,317,2012,1,2021
CRBU,Q2,JAN,985,2012,1,2021
CRBU,Q2,NOV,2848,2012,1,2021
CRBU,Q2,DEC,181,2022,1,2022
CRBU,Q2,JAN,428,2022,1,2022
CRBU,Q2,NOV,815,2022,1,2022
CRBU,Q3,APR,3,2011,1,2020
CRBU,Q3,FEB,2,2011,1,2020
CRBU,Q3,MAR,8,2011,1,2020
CRBU,Q3,APR,49,2012,1,2021
CRBU,Q3,FEB,191,2012,1,2021
CRBU,Q3,MAR,413,2012,1,2021
CRBU,Q4,JUL,52,2011,1,2020
CRBU,Q4,JUN,8,2011,1,2020
CRBU,Q4,MAY,3,2011,1,2020
CRBU,Q4,JUL,15,2012,1,2021
CRBU,Q4,JUN,131,2012,1,2021
CRBU,Q4,MAY,17,2012,1,2021
CRBU,Q1,AUG,157,2012,1,2021
CRBU,Q1,OCT,1008,2012,1,2021
CRBU,Q1,SEP,18,2012,1,2021
CRBU,Q1,AUG,163,2022,1,2022
CRBU,Q1,OCT,237,2022,1,2022
CRBU,Q1,SEP,280,2022,1,2022
CRBU,Q2,DEC,552,2012,1,2021
CRBU,Q2,JAN,1063,2012,1,2021
CRBU,Q2,NOV,2572,2012,1,2021
CRBU,Q2,DEC,392,2022,1,2022
CRBU,Q2,JAN,240,2022,1,2022
CRBU,Q2,NOV,669,2022,1,2022
CRBU,Q3,APR,16,2011,1,2020
CRBU,Q3,FEB,0,2011,1,2020
CRBU,Q3,MAR,0,2011,1,2020
CRBU,Q3,APR,74,2012,1,2021
CRBU,Q3,FEB,615,2012,1,2021
CRBU,Q3,MAR,758,2012,1,2021
CRBU,Q4,JUL,10,2011,1,2020
CRBU,Q4,JUN,0,2011,1,2020
CRBU,Q4,MAY,5,2011,1,2020
CRBU,Q4,JUL,156,2012,1,2021
CRBU,Q4,JUN,71,2012,1,2021
CRBU,Q4,MAY,112,2012,1,2021
CRBU,Q1,AUG,27,2012,1,2021
CRBU,Q1,OCT,201,2012,1,2021
CRBU,Q1,SEP,3,2012,1,2021
CRBU,Q1,AUG,140,2022,1,2022
CRBU,Q1,OCT,448,2022,1,2022
CRBU,Q1,SEP,132,2022,1,2022
CRBU,Q2,DEC,105,2012,1,2021
CRBU,Q2,JAN,215,2012,1,2021
CRBU,Q2,NOV,512,2012,1,2021
CRBU,Q2,DEC,286,2022,1,2022
CRBU,Q2,JAN,141,2022,1,2022
CRBU,Q2,NOV,291,2022,1,2022
CRBU,Q3,APR,10,2012,1,2021
CRBU,Q3,FEB,128,2012,1,2021
CRBU,Q3,MAR,148,2012,1,2021
CRBU,Q4,JUL,0,2011,1,2020
CRBU,Q4,JUN,0,2011,1,2020
CRBU,Q4,JUL,123,2012,1,2021
CRBU,Q4,JUN,151,2012,1,2021
CRBU,Q4,MAY,16,2012,1,2021
CRBU,Q1,AUG,1,2012,1,2021
CRBU,Q1,SEP,0,2012,1,2021
CRBU,Q1,AUG,0,2022,1,2022
CRBU,Q1,OCT,31,2022,1,2022
CRBU,Q2,DEC,8,2012,1,2021
CRBU,Q2,JAN,2,2012,1,2021
CRBU,Q2,NOV,2,2012,1,2021
CRBU,Q2,DEC,4,2022,1,2022
CRBU,Q2,JAN,9,2022,1,2022
CRBU,Q2,NOV,44,2022,1,2022
CRBU,Q3,APR,0,2012,1,2021
CRBU,Q3,MAR,2,2012,1,2021
CRBU,Q4,JUL,1,2011,1,2020
CRBU,Q4,JUN,0,2011,1,2020
CRBU,Q4,JUL,3,2012,1,2021
CRBU,Q4,JUN,2,2012,1,2021
CRBU,Q4,MAY,4,2012,1,2021
CRBU,Q1,OCT,1,2012,1,2021
CRBU,Q1,AUG,0,2022,1,2022
CRBU,Q1,OCT,28,2022,1,2022
CRBU,Q1,SEP,49,2022,1,2022
CRBU,Q2,DEC,0,2012,1,2021
CRBU,Q2,NOV,1,2012,1,2021
CRBU,Q2,DEC,13,2022,1,2022
CRBU,Q2,JAN,30,2022,1,2022
CRBU,Q2,NOV,3,2022,1,2022
CRBU,Q3,APR,2,2012,1,2021
CRBU,Q3,FEB,2,2012,1,2021
CRBU,Q3,MAR,54,2012,1,2021
CRBU,Q4,JUL,10,2012,1,2021
CRBU,Q4,JUN,18,2012,1,2021
CRBU,Q4,MAY,1,2012,1,2021
CRBU,Q1,OCT,60,2012,1,2021
CRBU,Q1,AUG,270,2022,1,2022
CRBU,Q1,OCT,1,2022,1,2022
CRBU,Q1,SEP,812,2022,1,2022
CRBU,Q2,DEC,67,2012,1,2021
CRBU,Q2,JAN,149,2012,1,2021
CRBU,Q2,NOV,24,2012,1,2021
CRBU,Q2,DEC,354,2022,1,2022
CRBU,Q2,JAN,458,2022,1,2022
CRBU,Q2,NOV,90,2022,1,2022
CRBU,Q3,APR,852,2012,1,2021
CRBU,Q3,FEB,588,2012,1,2021
CRBU,Q3,MAR,732,2012,1,2021
CRBU,Q4,JUL,148,2012,1,2021
CRBU,Q4,JUN,264,2012,1,2021
CRBU,Q4,MAY,78,2012,1,2021
CRBU,Q1,AUG,14,2011,1,2020
CRBU,Q1,OCT,60,2011,1,2020
CRBU,Q1,SEP,3,2011,1,2020
CRBU,Q1,AUG,49,2012,1,2021
CRBU,Q1,OCT,439,2012,1,2021
CRBU,Q1,SEP,73,2012,1,2021
CRBU,Q1,AUG,61,2022,1,2022
CRBU,Q1,OCT,201,2022,1,2022
CRBU,Q1,SEP,258,2022,1,2022
CRBU,Q2,DEC,270,2011,1,2020
CRBU,Q2,JAN,234,2011,1,2020
CRBU,Q2,NOV,18,2011,1,2020
CRBU,Q2,DEC,431,2012,1,2021
CRBU,Q2,JAN,828,2012,1,2021
CRBU,Q2,NOV,253,2012,1,2021
CRBU,Q2,DEC,258,2022,1,2022
CRBU,Q2,JAN,374,2022,1,2022
CRBU,Q2,NOV,60,2022,1,2022
CRBU,Q3,APR,18,2007,1,2019
CRBU,Q3,APR,264,2011,1,2020
CRBU,Q3,FEB,127,2011,1,2020
CRBU,Q3,MAR,174,2011,1,2020
CRBU,Q3,APR,289,2012,1,2021
CRBU,Q3,FEB,192,2012,1,2021
CRBU,Q3,MAR,573,2012,1,2021
CRBU,Q4,JUL,120,2007,1,2019
CRBU,Q4,JUN,25,2007,1,2019
CRBU,Q4,JUL,481,2011,1,2020
CRBU,Q4,JUN,96,2011,1,2020
CRBU,Q4,MAY,84,2011,1,2020
CRBU,Q4,JUL,510,2012,1,2021
CRBU,Q4,JUN,450,2012,1,2021
CRBU,Q4,MAY,286,2012,1,2021
CRBU,Q1,AUG,40,2022,1,2022
CRBU,Q1,OCT,6,2022,1,2022
CRBU,Q1,SEP,3,2022,1,2022
CRBU,Q2,DEC,31,2022,1,2022
CRBU,Q2,JAN,22,2022,1,2022
CRBU,Q2,NOV,14,2022,1,2022
CRBU,Q4,JUL,18,2012,1,2021
CRBU,Q4,JUN,1,2012,1,2021
CRBU,Q4,MAY,1,2012,1,2021
CRBU,Q1,AUG,8,2022,1,2022
CRBU,Q1,OCT,24,2022,1,2022
CRBU,Q1,SEP,272,2022,1,2022
CRBU,Q2,JAN,1,2012,1,2021
CRBU,Q2,DEC,19,2022,1,2022
CRBU,Q2,JAN,33,2022,1,2022
CRBU,Q2,NOV,2,2022,1,2022
CRBU,Q3,APR,8,2012,1,2021
CRBU,Q3,MAR,28,2012,1,2021
CRBU,Q4,JUL,15,2012,1,2021
CRBU,Q4,JUN,26,2012,1,2021
CRBU,Q4,MAY,19,2012,1,2021
CRBU,Q1,AUG,2,2007,1,2019
CRBU,Q1,OCT,2,2007,1,2019
CRBU,Q1,SEP,2,2007,1,2019
CRBU,Q1,AUG,0,2011,1,2020
CRBU,Q1,OCT,11,2011,1,2020
CRBU,Q1,SEP,20,2011,1,2020
CRBU,Q1,AUG,26,2012,1,2021
CRBU,Q1,OCT,282,2012,1,2021
CRBU,Q1,SEP,40,2012,1,2021
CRBU,Q1,AUG,52,2022,1,2022
CRBU,Q1,OCT,26,2022,1,2022
CRBU,Q1,SEP,78,2022,1,2022
CRBU,Q2,DEC,23,2007,1,2019
CRBU,Q2,JAN,19,2007,1,2019
CRBU,Q2,NOV,6,2007,1,2019
CRBU,Q2,DEC,22,2011,1,2020
CRBU,Q2,JAN,42,2011,1,2020
CRBU,Q2,NOV,5,2011,1,2020
CRBU,Q2,DEC,65,2012,1,2021
CRBU,Q2,JAN,1,2012,1,2021
CRBU,Q2,NOV,134,2012,1,2021
CRBU,Q2,DEC,10,2022,1,2022
CRBU,Q2,JAN,214,2022,1,2022
CRBU,Q2,NOV,132,2022,1,2022
CRBU,Q3,APR,2,2007,1,2019
CRBU,Q3,FEB,2,2007,1,2019
CRBU,Q3,APR,20,2011,1,2020
CRBU,Q3,FEB,6,2011,1,2020
CRBU,Q3,MAR,18,2011,1,2020
CRBU,Q3,APR,110,2012,1,2021
CRBU,Q3,FEB,28,2012,1,2021
CRBU,Q3,MAR,217,2012,1,2021
CRBU,Q4,JUL,14,2008,1,2018
CRBU,Q4,JUL,10,2007,1,2019
CRBU,Q4,JUN,2,2007,1,2019
CRBU,Q4,MAY,10,2007,1,2019
CRBU,Q4,JUL,41,2011,1,2020
CRBU,Q4,JUN,28,2011,1,2020
CRBU,Q4,MAY,5,2011,1,2020
CRBU,Q4,JUL,47,2012,1,2021
CRBU,Q4,JUN,47,2012,1,2021
CRBU,Q4,MAY,322,2012,1,2021
CRBU,Q1,AUG,10,2007,1,2019
CRBU,Q1,OCT,177,2007,1,2019
CRBU,Q1,SEP,90,2007,1,2019
CRBU,Q1,AUG,15,2011,1,2020
CRBU,Q1,OCT,2978,2011,1,2020
CRBU,Q1,SEP,46,2011,1,2020
CRBU,Q1,AUG,290,2012,1,2021
CRBU,Q1,OCT,327,2012,1,2021
CRBU,Q1,SEP,161,2012,1,2021
CRBU,Q1,AUG,189,2022,1,2022
CRBU,Q1,OCT,2700,2022,1,2022
CRBU,Q1,SEP,492,2022,1,2022
CRBU,Q2,DEC,7,2007,1,2019
CRBU,Q2,JAN,325,2007,1,2019
CRBU,Q2,NOV,5,2007,1,2019
CRBU,Q2,DEC,82,2011,1,2020
CRBU,Q2,JAN,106,2011,1,2020
CRBU,Q2,NOV,193,2011,1,2020
CRBU,Q2,DEC,201,2012,1,2021
CRBU,Q2,JAN,427,2012,1,2021
CRBU,Q2,NOV,248,2012,1,2021
CRBU,Q2,DEC,320,2022,1,2022
CRBU,Q2,JAN,633,2022,1,2022
CRBU,Q2,NOV,581,2022,1,2022
CRBU,Q3,APR,625,2007,1,2019
CRBU,Q3,FEB,23,2007,1,2019
CRBU,Q3,MAR,7,2007,1,2019
CRBU,Q3,APR,228,2011,1,2020
CRBU,Q3,FEB,353,2011,1,2020
CRBU,Q3,MAR,251,2011,1,2020
CRBU,Q3,APR,471,2012,1,2021
CRBU,Q3,FEB,351,2012,1,2021
CRBU,Q3,MAR,320,2012,1,2021
CRBU,Q4,JUL,270,2007,1,2019
CRBU,Q4,JUN,136,2007,1,2019
CRBU,Q4,MAY,6,2007,1,2019
CRBU,Q4,JUL,1283,2011,1,2020
CRBU,Q4,JUN,540,2011,1,2020
CRBU,Q4,MAY,137,2011,1,2020
CRBU,Q4,JUL,112,2012,1,2021
CRBU,Q4,JUN,616,2012,1,2021
CRBU,Q4,MAY,402,2012,1,2021
CRBU,Q1,AUG,3,2011,1,2020
CRBU,Q1,OCT,17,2011,1,2020
CRBU,Q1,SEP,25,2011,1,2020
CRBU,Q1,AUG,1,2012,1,2021
CRBU,Q1,OCT,73,2012,1,2021
CRBU,Q1,SEP,16,2012,1,2021
CRBU,Q1,AUG,166,2022,1,2022
CRBU,Q1,OCT,87,2022,1,2022
CRBU,Q1,SEP,92,2022,1,2022
CRBU,Q2,DEC,100,2007,1,2019
CRBU,Q2,JAN,4,2007,1,2019
CRBU,Q2,DEC,8,2011,1,2020
CRBU,Q2,JAN,13,2011,1,2020
CRBU,Q2,NOV,15,2011,1,2020
CRBU,Q2,DEC,218,2012,1,2021
CRBU,Q2,JAN,90,2012,1,2021
CRBU,Q2,NOV,24,2012,1,2021
CRBU,Q2,DEC,199,2022,1,2022
CRBU,Q2,JAN,504,2022,1,2022
CRBU,Q2,NOV,7,2022,1,2022
CRBU,Q3,APR,241,2007,1,2019
CRBU,Q3,FEB,2,2007,1,2019
CRBU,Q3,MAR,16,2007,1,2019
CRBU,Q3,APR,70,2011,1,2020
CRBU,Q3,FEB,59,2011,1,2020
CRBU,Q3,MAR,18,2011,1,2020
CRBU,Q3,APR,84,2012,1,2021
CRBU,Q3,FEB,22,2012,1,2021
CRBU,Q3,MAR,19,2012,1,2021
CRBU,Q4,JUL,27,2007,1,2019
CRBU,Q4,JUN,10,2007,1,2019
CRBU,Q4,MAY,0,2007,1,2019
CRBU,Q4,JUL,40,2011,1,2020
CRBU,Q4,JUN,2,2011,1,2020
CRBU,Q4,MAY,14,2011,1,2020
CRBU,Q4,JUL,107,2012,1,2021
CRBU,Q4,JUN,169,2012,1,2021
CRBU,Q4,MAY,104,2012,1,2021
CRBU,Q1,AUG,23,2022,1,2022
CRBU,Q1,OCT,118,2022,1,2022
CRBU,Q1,SEP,61,2022,1,2022
CRBU,Q2,DEC,111,2022,1,2022
CRBU,Q2,JAN,198,2022,1,2022
CRBU,Q2,NOV,9,2022,1,2022
CRBU,Q3,APR,24,2012,1,2021
CRBU,Q3,MAR,1,2012,1,2021
CRBU,Q4,JUL,23,2012,1,2021
CRBU,Q4,JUN,26,2012,1,2021
CRBU,Q4,MAY,135,2012,1,2021
CRBU,Q1,AUG,10,2022,1,2022
CRBU,Q1,OCT,4,2022,1,2022
CRBU,Q1,SEP,57,2022,1,2022
CRBU,Q2,DEC,20,2022,1,2022
CRBU,Q2,JAN,2,2022,1,2022
CRBU,Q2,NOV,26,2022,1,2022
CRBU,Q4,JUN,1,2012,1,2021
CRBU,Q1,AUG,3,2007,1,2019
CRBU,Q1,OCT,20,2007,1,2019
CRBU,Q1,AUG,10,2011,1,2020
CRBU,Q1,OCT,190,2011,1,2020
CRBU,Q1,SEP,33,2011,1,2020
CRBU,Q1,AUG,152,2012,1,2021
CRBU,Q1,OCT,118,2012,1,2021
CRBU,Q1,SEP,5,2012,1,2021
CRBU,Q1,AUG,37,2022,1,2022
CRBU,Q1,OCT,56,2022,1,2022
CRBU,Q1,SEP,135,2022,1,2022
CRBU,Q2,DEC,6,2007,1,2019
CRBU,Q2,JAN,4,2007,1,2019
CRBU,Q2,NOV,2,2007,1,2019
CRBU,Q2,DEC,348,2011,1,2020
CRBU,Q2,JAN,125,2011,1,2020
CRBU,Q2,NOV,119,2011,1,2020
