Unit,Family,PLID,Quarter,Month,Quantity,Date
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q4 FY2015,JUL FY2015,4869,2015-01-07
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q4 FY2015,JUN FY2015,1453,2015-01-06
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q4 FY2015,MAY FY2015,668,2015-01-05
UCEBU,PHONVID,CP-8845-K9,Q4 FY2015,JUL FY2015,19030,2015-01-07
UCEBU,PHONVID,CP-8865-K9,Q4 FY2015,JUL FY2015,1505,2015-01-07
UCEBU,PHONVOC,CP-7821-K9,Q4 FY2015,JUL FY2015,194173,2015-01-07
UCEBU,PHONVOC,CP-7821-K9,Q4 FY2015,JUN FY2015,150230,2015-01-06
UCEBU,PHONVOC,CP-7821-K9,Q4 FY2015,MAY FY2015,63871,2015-01-05
UCEBU,PHONVOC,CP-7841-K9,Q4 FY2015,JUL FY2015,174909,2015-01-07
UCEBU,PHONVOC,CP-7841-K9,Q4 FY2015,JUN FY2015,105985,2015-01-06
UCEBU,PHONVOC,CP-7841-K9,Q4 FY2015,MAY FY2015,54544,2015-01-05
UCEBU,PHONVOC,CP-8811-K9,Q4 FY2015,JUL FY2015,62543,2015-01-07
UCEBU,PHONVOC,CP-8811-K9,Q4 FY2015,JUN FY2015,27673,2015-01-06
UCEBU,PHONVOC,CP-8811-K9,Q4 FY2015,MAY FY2015,13550,2015-01-05
UCEBU,PHONVOC,CP-8841-K9,Q4 FY2015,JUL FY2015,109926,2015-01-07
UCEBU,PHONVOC,CP-8841-K9,Q4 FY2015,JUN FY2015,51735,2015-01-06
UCEBU,PHONVOC,CP-8841-K9,Q4 FY2015,MAY FY2015,33832,2015-01-05
UCEBU,PHONVOC,CP-8851-K9,Q4 FY2015,JUL FY2015,97853,2015-01-07
UCEBU,PHONVOC,CP-8851-K9,Q4 FY2015,JUN FY2015,48592,2015-01-06
UCEBU,PHONVOC,CP-8851-K9,Q4 FY2015,MAY FY2015,44810,2015-01-05
UCEBU,PHONVOC,CP-8861-K9,Q4 FY2015,JUL FY2015,26077,2015-01-07
UCEBU,PHONVOC,CP-8861-K9,Q4 FY2015,JUN FY2015,22158,2015-01-06
UCEBU,PHONVOC,CP-8861-K9,Q4 FY2015,MAY FY2015,5256,2015-01-05
CVEBU,CTSQS,CTS-CAM-P60+,Q4 FY2014,JUL FY2014,1116,2014-01-07
CVEBU,CTSQS,CTS-CAM-P60+,Q4 FY2014,JUN FY2014,627,2014-01-06
CVEBU,CTSQS,CTS-CAM-P60+,Q4 FY2014,MAY FY2014,387,2014-01-05
QKBU,N9500,N9K-C9508,Q4 FY2014,JUL FY2014,265,2014-01-07
QKBU,N9500,N9K-C9508,Q4 FY2014,JUN FY2014,63,2014-01-06
QKBU,N9500,N9K-C9508,Q4 FY2014,MAY FY2014,24,2014-01-05
SRSBU,4300ISR,ISR4321/K9,Q4 FY2014,JUL FY2014,0,2014-01-07
SRSBU,4300ISR,ISR4321/K9,Q4 FY2014,JUN FY2014,1,2014-01-06
SRSBU,4300ISR,ISR4331/K9,Q4 FY2014,JUL FY2014,0,2014-01-07
SRSBU,4300ISR,ISR4331/K9,Q4 FY2014,JUN FY2014,1,2014-01-06
SRSBU,4300ISR,ISR4351/K9,Q4 FY2014,JUL FY2014,7,2014-01-07
SRSBU,4300ISR,ISR4351/K9,Q4 FY2014,JUN FY2014,2,2014-01-06
SRSBU,ISR1121,ISR4431/K9,Q4 FY2014,JUL FY2014,55,2014-01-07
SRSBU,ISR1121,ISR4431/K9,Q4 FY2014,JUN FY2014,0,2014-01-06
SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2014,JUL FY2014,1978,2014-01-07
SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2014,JUN FY2014,609,2014-01-06
SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2014,MAY FY2014,445,2014-01-05
SRSBU,A9K1000,A9K1000-ESP100,Q4 FY2014,JUL FY2014,202,2014-01-07
SRSBU,A9K1000,A9K1000-ESP100,Q4 FY2014,JUN FY2014,178,2014-01-06
SRSBU,A9K1000,A9K1000-ESP100,Q4 FY2014,MAY FY2014,116,2014-01-05
SRSBU,A9K1000,A9K1001-X,Q4 FY2014,JUL FY2014,563,2014-01-07
SRSBU,A9K1000,A9K1001-X,Q4 FY2014,JUN FY2014,15,2014-01-06
SRSBU,A9K1000,A9K1001-X,Q4 FY2014,MAY FY2014,29,2014-01-05
TOASTBU,CPAK100,CPAK-100G-LR4,Q4 FY2014,JUL FY2014,982,2014-01-07
TOASTBU,CPAK100,CPAK-100G-LR4,Q4 FY2014,JUN FY2014,665,2014-01-06
TOASTBU,CPAK100,CPAK-100G-LR4,Q4 FY2014,MAY FY2014,305,2014-01-05
TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q4 FY2014,JUL FY2014,17130,2014-01-07
TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q4 FY2014,JUN FY2014,7137,2014-01-06
TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q4 FY2014,MAY FY2014,4368,2014-01-05
TOASTBU,SFP10G,SFP-10G-LR,Q4 FY2014,JUL FY2014,70685,2014-01-07
TOASTBU,SFP10G,SFP-10G-LR,Q4 FY2014,JUN FY2014,33131,2014-01-06
TOASTBU,SFP10G,SFP-10G-LR,Q4 FY2014,MAY FY2014,19736,2014-01-05
UCEBU,PHONVOC,CP-7821-K9,Q4 FY2014,JUL FY2014,155691,2014-01-07
UCEBU,PHONVOC,CP-7821-K9,Q4 FY2014,JUN FY2014,60297,2014-01-06
UCEBU,PHONVOC,CP-7821-K9,Q4 FY2014,MAY FY2014,74104,2014-01-05
UCEBU,PHONVOC,CP-7841-K9,Q4 FY2014,JUL FY2014,125440,2014-01-07
UCEBU,PHONVOC,CP-7841-K9,Q4 FY2014,JUN FY2014,49679,2014-01-06
UCEBU,PHONVOC,CP-7841-K9,Q4 FY2014,MAY FY2014,51314,2014-01-05
UCEBU,PHONVOC,CP-8841-K9,Q4 FY2014,JUL FY2014,20013,2014-01-07
UCEBU,PHONVOC,CP-8841-K9,Q4 FY2014,JUN FY2014,1513,2014-01-06
UCEBU,PHONVOC,CP-8841-K9,Q4 FY2014,MAY FY2014,243,2014-01-05
UCEBU,PHONVOC,CP-8851-K9,Q4 FY2014,JUL FY2014,23370,2014-01-07
UCEBU,PHONVOC,CP-8851-K9,Q4 FY2014,JUN FY2014,495,2014-01-06
UCEBU,PHONVOC,CP-8851-K9,Q4 FY2014,MAY FY2014,259,2014-01-05
UCEBU,PHONVOC,CP-8861-K9,Q4 FY2014,JUL FY2014,6333,2014-01-07
UCEBU,PHONVOC,CP-8861-K9,Q4 FY2014,JUN FY2014,990,2014-01-06
UCEBU,PHONVOC,CP-8861-K9,Q4 FY2014,MAY FY2014,227,2014-01-05
SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2013,JUL FY2013,77,2013-01-07
SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2013,JUN FY2013,38,2013-01-06
SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2013,MAY FY2013,27,2013-01-05
SRSBU,A9K1000,A9K1000-ESP100,Q4 FY2013,JUL FY2013,59,2013-01-07
SRSBU,A9K1000,A9K1000-ESP100,Q4 FY2013,JUN FY2013,57,2013-01-06
SRSBU,A9K1000,A9K1000-ESP100,Q4 FY2013,MAY FY2013,19,2013-01-05
TOASTBU,CPAK100,CPAK-100G-LR4,Q4 FY2013,JUL FY2013,87,2013-01-07
TOASTBU,SFP10G,SFP-10G-LR,Q4 FY2013,JUL FY2013,77441,2013-01-07
TOASTBU,SFP10G,SFP-10G-LR,Q4 FY2013,JUN FY2013,18436,2013-01-06
TOASTBU,SFP10G,SFP-10G-LR,Q4 FY2013,MAY FY2013,13622,2013-01-05
CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2012,JUL FY2012,220,2021-01-07
CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2012,JUN FY2012,242,2021-01-06
CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2012,MAY FY2012,294,2021-01-05
CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2012,JUL FY2012,143,2021-01-07
CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2012,JUN FY2012,129,2021-01-06
CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2012,MAY FY2012,147,2021-01-05
CPBU,DNAHW,DN2-CPU-I6238,Q4 FY2012,JUL FY2012,1372,2021-01-07
CPBU,DNAHW,DN2-CPU-I6238,Q4 FY2012,JUN FY2012,538,2021-01-06
CPBU,DNAHW,DN2-CPU-I6238,Q4 FY2012,MAY FY2012,442,2021-01-05
CPBU,DNAHW,DN2-CPU-I8276,Q4 FY2012,JUL FY2012,644,2021-01-07
CPBU,DNAHW,DN2-CPU-I8276,Q4 FY2012,JUN FY2012,252,2021-01-06
CPBU,DNAHW,DN2-CPU-I8276,Q4 FY2012,MAY FY2012,296,2021-01-05
CPBU,DNAHW,DN2-SD19T61X-EV,Q4 FY2012,JUL FY2012,10360,2021-01-07
CPBU,DNAHW,DN2-SD19T61X-EV,Q4 FY2012,JUN FY2012,3816,2021-01-06
CPBU,DNAHW,DN2-SD19T61X-EV,Q4 FY2012,MAY FY2012,3240,2021-01-05
CRBU,8000,88-LC0-36FH,Q4 FY2012,JUL FY2012,2,2021-01-07
CRBU,8000,88-LC0-36FH,Q4 FY2012,JUN FY2012,0,2021-01-06
CRBU,8000,88-LC0-36FH,Q4 FY2012,MAY FY2012,58,2021-01-05
CRBU,8000,8201-SYS,Q4 FY2012,JUL FY2012,146,2021-01-07
CRBU,8000,8201-SYS,Q4 FY2012,JUN FY2012,2,2021-01-06
CRBU,8000,8201-SYS,Q4 FY2012,MAY FY2012,10,2021-01-05
CRBU,8000,8800-LC-36FH,Q4 FY2012,JUL FY2012,52,2021-01-07
CRBU,8000,8800-LC-36FH,Q4 FY2012,JUN FY2012,4,2021-01-06
CRBU,8000,8800-LC-36FH,Q4 FY2012,MAY FY2012,21,2021-01-05
CRBU,8000,8800-LC-48H,Q4 FY2012,JUL FY2012,15,2021-01-07
CRBU,8000,8800-LC-48H,Q4 FY2012,JUN FY2012,131,2021-01-06
CRBU,8000,8800-LC-48H,Q4 FY2012,MAY FY2012,17,2021-01-05
CRBU,8000,8808-FC,Q4 FY2012,JUL FY2012,156,2021-01-07
CRBU,8000,8808-FC,Q4 FY2012,JUN FY2012,71,2021-01-06
CRBU,8000,8808-FC,Q4 FY2012,MAY FY2012,112,2021-01-05
CRBU,8000,8808-SYS,Q4 FY2012,JUL FY2012,123,2021-01-07
CRBU,8000,8808-SYS,Q4 FY2012,JUN FY2012,151,2021-01-06
CRBU,8000,8808-SYS,Q4 FY2012,MAY FY2012,16,2021-01-05
CRBU,8000,8812-SYS,Q4 FY2012,JUL FY2012,3,2021-01-07
CRBU,8000,8812-SYS,Q4 FY2012,JUN FY2012,2,2021-01-06
CRBU,8000,8812-SYS,Q4 FY2012,MAY FY2012,4,2021-01-05
CRBU,8000,8818-SYS,Q4 FY2012,JUL FY2012,10,2021-01-07
CRBU,8000,8818-SYS,Q4 FY2012,JUN FY2012,18,2021-01-06
CRBU,8000,8818-SYS,Q4 FY2012,MAY FY2012,1,2021-01-05
CRBU,NCS55FC,NC55-5504-FC2,Q4 FY2012,JUL FY2012,148,2021-01-07
CRBU,NCS55FC,NC55-5504-FC2,Q4 FY2012,JUN FY2012,264,2021-01-06
CRBU,NCS55FC,NC55-5504-FC2,Q4 FY2012,MAY FY2012,78,2021-01-05
CRBU,NCS55FC,NC55-5508-FC2,Q4 FY2012,JUL FY2012,510,2021-01-07
CRBU,NCS55FC,NC55-5508-FC2,Q4 FY2012,JUN FY2012,450,2021-01-06
CRBU,NCS55FC,NC55-5508-FC2,Q4 FY2012,MAY FY2012,286,2021-01-05
CRBU,NCS55FC,NC-57-36H6D-S,Q4 FY2012,JUL FY2012,18,2021-01-07
CRBU,NCS55FC,NC-57-36H6D-S,Q4 FY2012,JUN FY2012,1,2021-01-06
CRBU,NCS55FC,NC-57-36H6D-S,Q4 FY2012,MAY FY2012,1,2021-01-05
CRBU,NCS55FC,NC-57-36H-SE,Q4 FY2012,JUL FY2012,15,2021-01-07
CRBU,NCS55FC,NC-57-36H-SE,Q4 FY2012,JUN FY2012,26,2021-01-06
CRBU,NCS55FC,NC-57-36H-SE,Q4 FY2012,MAY FY2012,19,2021-01-05
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q4 FY2012,JUL FY2012,47,2021-01-07
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q4 FY2012,JUN FY2012,47,2021-01-06
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q4 FY2012,MAY FY2012,322,2021-01-05
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q4 FY2012,JUL FY2012,112,2021-01-07
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q4 FY2012,JUN FY2012,616,2021-01-06
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q4 FY2012,MAY FY2012,402,2021-01-05
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q4 FY2012,JUL FY2012,107,2021-01-07
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q4 FY2012,JUN FY2012,169,2021-01-06
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q4 FY2012,MAY FY2012,104,2021-01-05
CRBU,NCS55FC,NCS-57C3-MOD-SYS,Q4 FY2012,JUL FY2012,23,2021-01-07
CRBU,NCS55FC,NCS-57C3-MOD-SYS,Q4 FY2012,JUN FY2012,26,2021-01-06
CRBU,NCS55FC,NCS-57C3-MOD-SYS,Q4 FY2012,MAY FY2012,135,2021-01-05
CRBU,NCS55FC,NCS-57C3-MODS-SYS,Q4 FY2012,JUN FY2012,1,2021-01-06
CRBU,NCS55FC,NCS-5504-SYS,Q4 FY2012,JUL FY2012,109,2021-01-07
CRBU,NCS55FC,NCS-5504-SYS,Q4 FY2012,JUN FY2012,70,2021-01-06
CRBU,NCS55FC,NCS-5504-SYS,Q4 FY2012,MAY FY2012,41,2021-01-05
CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2012,JUL FY2012,25,2021-01-07
CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2012,JUN FY2012,15,2021-01-06
CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2012,MAY FY2012,77,2021-01-05
CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q4 FY2012,JUL FY2012,3,2021-01-07
CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q4 FY2012,JUN FY2012,40,2021-01-06
CRBU,NCS5500,NCS-55A1-36H-SE-S,Q4 FY2012,JUL FY2012,151,2021-01-07
CRBU,NCS5500,NCS-55A1-36H-SE-S,Q4 FY2012,JUN FY2012,33,2021-01-06
CRBU,NCS5500,NCS-55A1-36H-SE-S,Q4 FY2012,MAY FY2012,60,2021-01-05
CRBU,NCS5500,NCS-5501-SE,Q4 FY2012,JUL FY2012,141,2021-01-07
CRBU,NCS5500,NCS-5501-SE,Q4 FY2012,JUN FY2012,690,2021-01-06
CRBU,NCS5500,NCS-5501-SE,Q4 FY2012,MAY FY2012,36,2021-01-05
CRBU,NCS5500,NCS-5508,Q4 FY2012,JUL FY2012,191,2021-01-07
CRBU,NCS5500,NCS-5508,Q4 FY2012,JUN FY2012,160,2021-01-06
CRBU,NCS5500,NCS-5508,Q4 FY2012,MAY FY2012,47,2021-01-05
CRBU,NCS6000,NC6-20X100GE-M-C,Q4 FY2012,JUL FY2012,21,2021-01-07
CRBU,NCS6000,NC6-20X100GE-M-C,Q4 FY2012,JUN FY2012,0,2021-01-06
CRBU,NCS6000,NC6-20X100GE-M-C,Q4 FY2012,MAY FY2012,5,2021-01-05
CSA,HXCPU,HX-CPU-I6258R,Q4 FY2012,JUL FY2012,64,2021-01-07
CSA,HXCPU,HX-CPU-I6258R,Q4 FY2012,JUN FY2012,204,2021-01-06
CSA,HXCPU,HX-CPU-I6258R,Q4 FY2012,MAY FY2012,46,2021-01-05
CSA,HXSSD,HX-SD38T61X-EV,Q4 FY2012,JUL FY2012,3044,2021-01-07
CSA,HXSSD,HX-SD38T61X-EV,Q4 FY2012,JUN FY2012,1398,2021-01-06
CSA,HXSSD,HX-SD38T61X-EV,Q4 FY2012,MAY FY2012,1694,2021-01-05
CSA,UCSB,UCS-FI-6454,Q4 FY2012,JUL FY2012,859,2021-01-07
CSA,UCSB,UCS-FI-6454,Q4 FY2012,JUN FY2012,258,2021-01-06
CSA,UCSB,UCS-FI-6454,Q4 FY2012,MAY FY2012,260,2021-01-05
CSA,UCSB,UCSB-B200-M5,Q4 FY2012,JUL FY2012,10190,2021-01-07
CSA,UCSB,UCSB-B200-M5,Q4 FY2012,JUN FY2012,7830,2021-01-06
CSA,UCSB,UCSB-B200-M5,Q4 FY2012,MAY FY2012,7698,2021-01-05
CSA,UCSC,UCSC-C220-M5SX,Q4 FY2012,JUL FY2012,4423,2021-01-07
CSA,UCSC,UCSC-C220-M5SX,Q4 FY2012,JUN FY2012,1975,2021-01-06
CSA,UCSC,UCSC-C220-M5SX,Q4 FY2012,MAY FY2012,1775,2021-01-05
CSA,UCSC,UCSC-C240-M5SX,Q4 FY2012,JUL FY2012,1736,2021-01-07
CSA,UCSC,UCSC-C240-M5SX,Q4 FY2012,JUN FY2012,818,2021-01-06
CSA,UCSC,UCSC-C240-M5SX,Q4 FY2012,MAY FY2012,719,2021-01-05
CSA,UCSC,UCSC-C240-M6SX,Q4 FY2012,JUL FY2012,444,2021-01-07
CSA,UCSC,UCSC-C240-M6SX,Q4 FY2012,JUN FY2012,54,2021-01-06
CSA,UCSC,UCSC-C240-M6SX,Q4 FY2012,MAY FY2012,10,2021-01-05
CSA,UCSCPU,UCS-CPU-A7702,Q4 FY2012,JUL FY2012,232,2021-01-07
CSA,UCSCPU,UCS-CPU-A7702,Q4 FY2012,JUN FY2012,0,2021-01-06
CSA,UCSCPU,UCS-CPU-A7702,Q4 FY2012,MAY FY2012,48,2021-01-05
CSA,UCSCPU,UCS-CPU-A7763,Q4 FY2012,JUL FY2012,300,2021-01-07
CSA,UCSCPU,UCS-CPU-A7763,Q4 FY2012,JUN FY2012,14,2021-01-06
CSA,UCSCPU,UCS-CPU-A7763,Q4 FY2012,MAY FY2012,200,2021-01-05
CSA,UCSCPU,UCS-CPU-I6226,Q4 FY2012,JUL FY2012,917,2021-01-07
CSA,UCSCPU,UCS-CPU-I6226,Q4 FY2012,JUN FY2012,454,2021-01-06
CSA,UCSCPU,UCS-CPU-I6226,Q4 FY2012,MAY FY2012,120,2021-01-05
CSA,UCSCPU,UCS-CPU-I6226R,Q4 FY2012,JUL FY2012,2653,2021-01-07
CSA,UCSCPU,UCS-CPU-I6226R,Q4 FY2012,JUN FY2012,1004,2021-01-06
CSA,UCSCPU,UCS-CPU-I6226R,Q4 FY2012,MAY FY2012,1271,2021-01-05
CSA,UCSCPU,UCS-CPU-I6230,Q4 FY2012,JUL FY2012,1474,2021-01-07
CSA,UCSCPU,UCS-CPU-I6230,Q4 FY2012,JUN FY2012,1141,2021-01-06
CSA,UCSCPU,UCS-CPU-I6230,Q4 FY2012,MAY FY2012,296,2021-01-05
CSA,UCSCPU,UCS-CPU-I6234,Q4 FY2012,JUL FY2012,405,2021-01-07
CSA,UCSCPU,UCS-CPU-I6234,Q4 FY2012,JUN FY2012,327,2021-01-06
CSA,UCSCPU,UCS-CPU-I6234,Q4 FY2012,MAY FY2012,311,2021-01-05
CSA,UCSCPU,UCS-CPU-I6238R,Q4 FY2012,JUL FY2012,2354,2021-01-07
CSA,UCSCPU,UCS-CPU-I6238R,Q4 FY2012,JUN FY2012,1514,2021-01-06
CSA,UCSCPU,UCS-CPU-I6238R,Q4 FY2012,MAY FY2012,716,2021-01-05
CSA,UCSCPU,UCS-CPU-I6240,Q4 FY2012,JUL FY2012,1642,2021-01-07
CSA,UCSCPU,UCS-CPU-I6240,Q4 FY2012,JUN FY2012,1090,2021-01-06
CSA,UCSCPU,UCS-CPU-I6240,Q4 FY2012,MAY FY2012,1707,2021-01-05
CSA,UCSCPU,UCS-CPU-I6240R,Q4 FY2012,JUL FY2012,2919,2021-01-07
CSA,UCSCPU,UCS-CPU-I6240R,Q4 FY2012,JUN FY2012,900,2021-01-06
CSA,UCSCPU,UCS-CPU-I6240R,Q4 FY2012,MAY FY2012,567,2021-01-05
CSA,UCSCPU,UCS-CPU-I6246,Q4 FY2012,JUL FY2012,484,2021-01-07
CSA,UCSCPU,UCS-CPU-I6246,Q4 FY2012,JUN FY2012,221,2021-01-06
CSA,UCSCPU,UCS-CPU-I6246,Q4 FY2012,MAY FY2012,615,2021-01-05
CSA,UCSCPU,UCS-CPU-I6248R,Q4 FY2012,JUL FY2012,5688,2021-01-07
CSA,UCSCPU,UCS-CPU-I6248R,Q4 FY2012,JUN FY2012,2937,2021-01-06
